what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1244839059453
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1244839059453
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1244839059453
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1244839059453
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1244839059453
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1244839060484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839061046
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839063140
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839068406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839104250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244839104265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839106546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839117671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839120171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839149453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839151281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839175921
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244839175921
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1244839180093
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1244839180125
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1244839180156
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1244839180156
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244839180281
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1244839180593
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1244839180593
